Rating,Message
A*,"That was an excellent answer, clear and confident. 这个回答非常优秀，清楚又自信。"
A*,"You answered quickly and accurately, great job. 你回答又快又准，做得很好。"
A*,"Your response was very clear and easy to follow. 你的回答很清楚，也很好理解。"
A*,"You stayed calm and delivered a strong answer. 你很沉稳，也给出了很强的回答。"
A*,"You explained it really well, the class could learn from this. 你解释得非常好，全班都能从中学到东西。"
A*,"You showed excellent understanding, keep it up. 你理解得很到位，继续保持。"
A*,"Your answer was strong from start to finish, impressive. 你的回答从头到尾都很强，令人印象深刻。"
A*,"You were focused and precise, excellent work. 你很专注也很准确，表现优秀。"
A*,"You gave a high-level answer, well done. 你给出了高水平的回答，做得好。"
A*,"You handled the cold call like a pro, great composure. 你被点名也应对得很专业，沉着得很好。"
A*,"You expressed your ideas clearly and confidently, excellent. 你表达清楚又自信，非常棒。"
A*,"That was a top-quality response, keep leading by example. 这是高质量的回答，继续做榜样。"
A,"Good answer, clear and mostly accurate. 回答不错，清楚而且基本准确。"
A,"Well done, you explained your thinking clearly. 做得好，你把思路讲清楚了。"
A,"Strong effort and a strong response, keep going. 努力到位，回答也很不错，继续加油。"
A,"You stayed on task and responded well, nice work. 你紧扣问题，回答得很好，不错。"
A,"Good job, you showed you understood the topic. 做得好，你表现出你理解了这个内容。"
A,"Nice response, keep building your confidence. 回答不错，继续增强自信。"
A,"You did well, next time try to be a bit more specific. 你做得很好，下次可以再具体一点。"
A,"Good work, you are getting more consistent. 干得好，你的表现越来越稳定。"
A,"Well done, you kept it clear and organized. 做得好，你讲得清楚而且有条理。"
A,"Good answer, you are making steady progress. 回答不错，你在稳步进步。"
A,"Nice work, you are ready for more challenge. 不错，你已经可以接受更高一点的挑战了。"
B,"Good try, you are on the right track. 尝试很好，你的方向是对的。"
B,"Nice effort, keep practicing and it will get easier. 努力不错，继续练习会越来越顺。"
B,"You answered, and that matters. Next time aim for more clarity. 你愿意回答就很重要。下次把表达更清楚一点。"
B,"Good start, add one more detail next time. 开了个好头，下次再加一个细节。"
B,"Not bad, take a moment and organize your answer more. 不错，稍微想一下，把回答再更有条理。"
B,"You have the main idea, now make it clearer. 你抓到主要想法了，现在把它说得更清楚。"
B,"Solid effort under pressure, keep building confidence. 压力下还能努力很不错，继续建立自信。"
B,"Good attempt, slow down a bit and speak with clarity. 尝试很好，稍微放慢一点，讲清楚。"
B,"You are improving, keep going step by step. 你在进步，一步一步继续走。"
B,"Nice try, review this and you will be stronger next time. 尝试不错，回顾一下，下次会更强。"
B,"Good effort, aim to use the key words from the question. 努力很好，尽量用题目里的关键词来回答。"
B,"You contributed to the class, keep participating. 你为课堂做出了贡献，继续参与。"
C,"Thank you for trying, keep going. 谢谢你愿意尝试，继续加油。"
C,"It is okay to be unsure, just keep participating. 不确定没关系，继续参与就好。"
C,"Good effort, next time say one clear point first. 努力很好，下次先说一个清楚的重点。"
C,"Nice try, take your time and speak slowly. 尝试不错，慢慢来，讲慢一点。"
C,"Keep practicing, confidence comes with repetition. 继续练习，自信会随着重复而来。"
C,"Good job for answering, even a short answer helps you improve. 愿意回答就很好，哪怕短回答也能帮助进步。"
C,"No problem, we learn by trying. Keep it up. 没关系，我们靠尝试来学习。继续努力。"
C,"You are building the basics, keep showing up. 你在打基础，继续参与就好。"
C,"Try again next time, you will get better. 下次再来，你会越来越好。"
C,"Good attempt, ask for a hint if you need one. 尝试很好，需要的话可以要一个提示。"
C,"Keep going, every time you answer you improve. 继续加油，每次回答都会进步。"
C,"Well done for being brave, your confidence will grow. 愿意回答很勇敢，你的自信会慢慢增长。"